DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,1717471006649,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,2125878350940,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,1932739484621,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,2181003265048,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,2792938306801,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,3383907793063,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,2855466868196,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EU27_2020,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,3442509178402,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,16960010810,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,22093396524,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,26494392080,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,30440073930,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,42797289653,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,50774377098,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,31380070230,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,39031220615,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,59757300463,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,72867773622,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,57874462310,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FI,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,69471294545,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,172223182391,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,205766161168,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,198404292667,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,224530351760,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,336276157915,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,399488372047,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,228831891486,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,270418464437,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,FR,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,508499340306,
